Year,Group,Theme,Placement,Songs,YouTube_Link
1970,Kappa Omega Tau,Magic,1st,,
1971,Kappa Omega Tau,Save The People,1st,,
1972,Kappa Omega Tau,Puppet Man,1st,,
1973,Phi Kappa Alpha,"Sgt. Pepper's Make Your Own Kind of Music Down by the Bandstand Smiling Singing Band",1st,,
1973,Kappa Omega Tau,Lonely Hearts Club,Participated,Hey Jude,
1975,Kappa Omega Tau,Something Coming Up,1st,,
1976,Kappa Omega Tau,Losing my Blues to the Inner City Rhythm,1st,,
1984,Sigma Chi,Basement Full of Blues,1st,,
1985,Kappa Omega Tau,Just Another Cotton-Pickin Day,1st,,
1986,Kappa Omega Tau,We Got To Try,1st,,
1987,Kappa Omega Tau,A Midsummer Knight's Dream,Pigskin,,
1988,Kappa Omega Tau,"Long, Long Way From Home",Pigskin,,
1988,Zeta Tau Alpha,Back to Paradise,Participated,(I've Had) The Time of My Life,
1989,Kappa Omega Tau,I Want You Back,Pigskin,,
1990,Kappa Omega Tau,Higher Love,1st,,
1990,Pi Beta Phi,I Ought to be in the Pictures,Participated,Singin' in the Rain,https://www.youtube.com/watch?v=CaRjgTxEuus
1992,Kappa Omega Tau,Showdown At Sundown,1st,,
1993,Phi Gamma Delta,,1st,,
1993,Phi Kappa Chi,,2nd,,
1993,Kappa Omega Tau,,3rd,,
1994,Phi Gamma Delta,,1st,,
1994,Phi Kappa Chi,,2nd,,
1995,Phi Gamma Delta,,1st,,
1995,Phi Kappa Chi,,2nd,,
1996,Phi Gamma Delta,,1st,,
1997,Kappa Omega Tau,Last Reville,1st,,
1998,Kappa Omega Tau,Thunder at Dawn,1st,,
1999,Chi Omega,,1st,,
2000,Kappa Omega Tau,1849,1st,,
2002,Delta Delta Delta,Ease on Down the Road,1st,,
2002,Kappa Alpha Theta,Greasy Spoon,2nd,,
2002,Kappa Kappa Gamma,Let the Good Times Roll,3rd,,
2002,Chi Omega,,Pigskin,,
2002,Kappa Omega Tau,,Pigskin,,
2002,Kappa Sigma,,Pigskin,,
2002,Pi Beta Phi,,Pigskin,,
2003,Kappa Omega Tau,Boone County,1st,,
2003,Kappa Kappa Gamma & Kappa Sigma,On the Bayou Ball,Participated,,
2004,Phi Kappa Chi,,1st,,
2005,Delta Delta Delta,Gimme That Country Side,1st,,
2005,Alpha Tau Omega & Kappa Chi Alpha,I Love the 80's,2nd,,
2005,Kappa Alpha Theta,Let the Good Times Roll,3rd,,
2006,Kappa Omega Tau,Up The Ladder,1st,,
2006,Sing Alliance,,Pigskin,,
2006,Kappa Kappa Gamma,Meet Me At The Fair,Participated,,
2007,Delta Delta Delta,,1st,,
2007,Kappa Sigma,Taking Out The Trash,1st,,
2007,Sing Alliance,,Pigskin,,
2008,Kappa Kappa Gamma & Kappa Sigma,On the Town,1st,,
2008,Kappa Omega Tau,From the Bayou to the Big Easy,2nd,,
2009,Kappa Omega Tau,Steppin' to the Badside,2nd,,
2009,Sing Alliance,A Latte Love,3rd,,
2009,Alpha Tau Omega,Heroes and Villains,Participated,,
2010,Kappa Omega Tau,The Toys are Back in Town,1st,,
2010,Sing Alliance,A News Sensation,3rd,,
2011,Pi Beta Phi,"Welcome to Your 80's, Ladies",1st,,
2011,Kappa Omega Tau,The Show Must Go On,2nd,,
2011,Delta Delta Delta,,3rd,,
2011,Alpha Tau Omega,,Pigskin,,
2011,Chi Omega & Phi Kappa Chi,,Pigskin,,
2011,Kappa Alpha Theta,,Pigskin,,
2011,Kappa Kappa Gamma,Who's Afraid of the Big Bad Wolf?,Pigskin,Mercy (Duffy); Be OK (Ingrid Michaelson),
2011,Kappa Sigma,Playin' Around at the Playground,Pigskin,Come Play Away,
2012,Kappa Kappa Gamma & Kappa Sigma,,1st,,
2012,Kappa Omega Tau,Standing Small,2nd,,
2012,Delta Delta Delta & Alpha Tau Omega,,3rd,,
2012,Alpha Chi Omega,Juke Box Heroes,Pigskin,Livin' On a Prayer,
2012,Chi Omega,,Pigskin,,
2012,Phi Kappa Chi,,Pigskin,,
2012,Phi Gamma Delta,,Pigskin,,
2012,Pi Beta Phi,,Pigskin,,
2013,Kappa Omega Tau,Ghosts Call,1st,,
2013,Kappa Sigma,,1st,,
2013,Phi Kappa Chi,,3rd,,
2013,Chi Omega & Phi Gamma Delta,,Pigskin,,
2013,Zeta Tau Alpha,,Pigskin,,
2013,Alpha Tau Omega,,Pigskin,,
2013,Sing Alliance,,Pigskin,,
2013,Pi Beta Phi,,Pigskin,,
2014,Kappa Omega Tau,The Battle Within,1st,,
2014,Delta Delta Delta,,2nd,,
2014,Alpha Tau Omega,,3rd,,
2014,Alpha Chi Omega,,Pigskin,,
2014,Kappa Sigma,,Pigskin,,
2014,Kappa Kappa Gamma,,Pigskin,,
2014,Kappa Alpha Theta,,Pigskin,,
2014,Pi Beta Phi & Phi Kappa Chi,,Pigskin,,
2015,Phi Kappa Chi,Dust Bowl Days,1st,,https://www.youtube.com/watch?v=nRjHFQCsJio
2015,Kappa Omega Tau,The Grand Hotel,2nd,,
2015,Pi Beta Phi,Back in the Habit,3rd,,
2015,Alpha Tau Omega,,Pigskin,,
2015,Chi Omega,,Pigskin,,
2015,Delta Delta Delta,,Pigskin,,
2015,Kappa Kappa Gamma,,Pigskin,,
2015,Kappa Sigma,,Pigskin,,
2016,Pi Beta Phi,Meet Me in Ze Alps,1st,,
2016,Kappa Omega Tau,Setting Sail,2nd,,
2016,Chi Omega,Lunch Lady Land,3rd,,
2016,Kappa Kappa Gamma & Kappa Sigma,Come Dance With Me,Pigskin,,
2016,Delta Delta Delta,Can You Dig It?,Pigskin,,
2016,Phi Kappa Chi,Workin' on a Building,Pigskin,,
2016,Alpha Chi Omega,The Alpha Chi Coal Mining Company,Pigskin,,
2016,Alpha Tau Omega,The King of Promise,Pigskin,,
2016,Kappa Chi Alpha & Beta Upsilon Chi,Wonderful World,Participated,What a Wonderful World,
2016,Kappa Alpha Theta & Sigma Chi,"Sincerely Yours, Thetasig",Participated,,
2016,Pi Kappa Phi,The Lost City,Participated,,
2016,Zeta Tau Alpha,We Have Awoken,Participated,Chandelier (Sia),
2016,Sing Alliance,Two Tickets Please,Participated,,
2016,Baylor Chamber of Commerce,Time for the Show,Participated,,
2016,Beta Theta Pi,Derailed,Participated,,
2016,Delta Tau Delta,Lost in the Jungle,Participated,Tarzan (Disney),
2016,Alpha Delta Pi,Keep on Survivin',Participated,,
2016,Phi Gamma Delta,The Dance of the Dead,Participated,Thriller (Michael Jackson),
2017,Kappa Omega Tau,Bein' Green,1st,,
