Year,Group,Theme,Placement,Songs,YouTube_Link
1953,Athenians,,2nd,,
1953,Freshman Class,,3rd,,
1953,Peer Club,,1st,,
1970,Kappa Omega Tau,Magic,1st,,https://www.youtube.com/watch?v=1SEWj3_hzNQ
1971,Kappa Omega Tau,Save The People,1st,,https://www.youtube.com/watch?v=pr4fC5Di_EE
1972,Kappa Omega Tau,Puppet Man,1st,,https://www.youtube.com/watch?v=nXkbomC_vgk
1973,Kappa Omega Tau,Lonely Hearts Club,Participated,Hey Jude,https://www.youtube.com/watch?v=DKmgcxOqa6k
1973,Phi Kappa Alpha,Sgt. Pepper's Make Your Own Kind of Music Down by the Bandstand Smiling Singing Band,1st,,
1975,Kappa Omega Tau,Something Coming Up,1st,,
1976,Kappa Omega Tau,Losing my Blues to the Inner City Rhythm,1st,,
1977,Sigma Tau Gamma,Damn Yankees,Pigskin,,
1978,Sigma Tau Gamma,Rise Again,5th,,
1979,Delta Delta Delta,Singing to Victory with the USO,3rd (tie),,
1979,Zeta Tau Alpha,You've Come a Long Way Lady,Participated,,
1980,Chamber of Commerce,After Hours,1st,,
1980,Zeta Tau Alpha,On the Sunny Side of the Street,Participated,,
1981,Zeta Tau Alpha,Roarin' Happy Times,Pigskin,,
1982,Zeta Tau Alpha,Rockin' Down the Highway,Participated,,
1983,Zeta Tau Alpha,Streetlife Serenade,Pigskin (6th),,
1984,Sigma Chi,Basement Full of Blues,1st,,https://www.youtube.com/watch?v=nerxPfwF1IQ
1985,Kappa Omega Tau,Just Another Cotton-Pickin Day,1st,,
1985,Zeta Tau Alpha,Go Into Your Dance,Pigskin,,
1986,Kappa Omega Tau,We Got To Try,1st,,
1986,Zeta Tau Alpha,Route 66,Pigskin (2nd),,
1987,Kappa Omega Tau,A Midsummer Knight's Dream,Pigskin,,
1987,Zeta Tau Alpha,Pages Out of Time,Pigskin (1st),,https://www.youtube.com/watch?v=vcRypqUnP6I
1988,Kappa Omega Tau,"Long, Long Way From Home",Pigskin,,https://www.youtube.com/watch?v=SwOegAfO0wQ
1988,Zeta Tau Alpha,Back to Paradise,Participated,(I've Had) The Time of My Life,https://www.youtube.com/watch?v=iDjpgeh2KoY
1989,Kappa Omega Tau,I Want You Back,Pigskin,,https://www.youtube.com/watch?v=fHqufkH98xA
1989,Zeta Tau Alpha,The Company B Boogie (USO),Pigskin,,https://www.youtube.com/watch?v=5YTyHduVEp8
1990,Kappa Omega Tau,Higher Love,1st,,https://www.youtube.com/watch?v=gRm8lIEzONQ
1990,Pi Beta Phi,I Ought to be in the Pictures,Participated,Singin' in the Rain,https://www.youtube.com/watch?v=CaRjgTxEuus
1992,Kappa Omega Tau,Showdown At Sundown,1st,,https://www.youtube.com/watch?v=2B55kpx00Bk
