year,group_dir,palette_hex,palette_proportions,n_images,image_source,avg_hue,avg_saturation,avg_brightness
1970,1970_Kappa_Omega_Tau,#362734;#48394B;#674D60;#97656F;#BF8493;#CBC5FA;#E7AB9F;#6D679F;#9893DD;#672D18,0.2378;0.1659;0.1112;0.0795;0.0762;0.0741;0.0740;0.0638;0.0619;0.0557,8,youtube,0.8559,0.3085,0.5038
1971,1971_Kappa_Omega_Tau,#3F302C;#59453A;#755F51;#7F542B;#A77037;#9A7C66;#C79861;#EFBD7B;#C4A290;#FADAA8,0.2063;0.1807;0.1214;0.1065;0.0843;0.0773;0.0733;0.0646;0.0440;0.0416,8,youtube,0.0665,0.4099,0.5170
1972,1972_Kappa_Omega_Tau,#332A39;#433747;#5C4B5E;#81656D;#A68188;#CC9FA3;#F3C4C4;#6F6398;#968AC9;#C7BEF6,0.2906;0.1874;0.1159;0.0823;0.0747;0.0671;0.0534;0.0456;0.0451;0.0378,7,youtube,0.8213,0.2404,0.4540
1973,1973_Kappa_Omega_Tau,#382D2E;#4B3D45;#6D5A5C;#684C2F;#FCF2C4;#8E7A7B;#E4C598;#BEA171;#977749;#B5A3BA,0.3251;0.1436;0.0926;0.0774;0.0771;0.0717;0.0648;0.0618;0.0497;0.0361,6,youtube,0.0075,0.2533,0.4607
1984,1984_Sigma_Chi,#262C3C;#3F2B27;#563830;#2D3D5B;#765747;#465F88;#9B7D69;#7FA1C3;#9DEBFC;#D5B593,0.2469;0.2438;0.1385;0.1061;0.0792;0.0573;0.0387;0.0369;0.0363;0.0165,8,youtube,0.8496,0.4017,0.3714
1987,1987_Zeta_Tau_Alpha,#40202B;#56364C;#6C4C6E;#86668A;#92836D;#AA9C88;#7C5B54;#1C1A43;#BEBBC7;#2F2B77,0.1823;0.1691;0.1492;0.1284;0.0875;0.0837;0.0759;0.0578;0.0347;0.0315,7,youtube,0.8989,0.3546,0.4363
1988,1988_Kappa_Omega_Tau,#231B41;#3E1F24;#642C25;#452B4C;#302E78;#773E58;#9A2830;#AF7036;#91628E;#CC9EC3,0.2495;0.2165;0.1159;0.1136;0.1014;0.0684;0.0431;0.0369;0.0357;0.0190,6,youtube,0.8560,0.5450,0.3620
1988,1988_Zeta_Tau_Alpha,#17194D;#293271;#3A34AB;#8A2427;#56212D;#C62A3A;#823D66;#705EF6;#D04F9F;#B3DFFB,0.2499;0.2160;0.1168;0.0968;0.0888;0.0787;0.0721;0.0399;0.0254;0.0156,6,youtube,0.7481,0.6656,0.5042
1989,1989_Kappa_Omega_Tau,#3B0F1D;#3B1C2F;#4F273E;#683248;#531325;#79455F;#142E4A;#3B4C63;#9B6780;#687A8C,0.2201;0.1711;0.1450;0.1329;0.1317;0.0730;0.0490;0.0317;0.0267;0.0188,8,youtube,0.9102,0.5918,0.3202
1989,1989_Zeta_Tau_Alpha,#3B1931;#502B3F;#1B173F;#453069;#212959;#6F3E56;#474B87;#8F53AE;#79448A;#7A86A2,0.1755;0.1633;0.1549;0.1201;0.1108;0.0958;0.0578;0.0535;0.0510;0.0174,7,youtube,0.7869,0.5377,0.3657
1990,1990_Kappa_Omega_Tau,#201C46;#6B503E;#48362F;#411A15;#8A6B54;#26227E;#36524F;#4E5A89;#AC8E78;#B8B8CA,0.1593;0.1414;0.1351;0.1244;0.1207;0.1023;0.0940;0.0515;0.0508;0.0205,6,youtube,0.9483,0.4796,0.3972
1990,1990_Pi_Beta_Phi,#292748;#411A13;#642011;#554348;#963428;#A7674E;#D9896E;#2F3BBD;#8090ED;#656391,0.2452;0.1827;0.1315;0.1085;0.0896;0.0658;0.0484;0.0473;0.0457;0.0353,8,youtube,0.9134,0.5662,0.4381
1992,1992_Kappa_Omega_Tau,#451001;#5F2E09;#402911;#523D2D;#774911;#725936;#8D7452;#A46D24;#1B1E45;#BD9B75,0.2095;0.1481;0.1289;0.1168;0.1125;0.1098;0.0629;0.0421;0.0419;0.0274,4,youtube,0.0708,0.7373,0.3769
1993,1993_Kappa_Omega_Tau,#3B2420;#4E2720;#63261F;#7B2720;#64402C;#2D233C;#9D2B27;#83573E;#3E326A;#D23B36,0.2396;0.2298;0.1742;0.1116;0.0813;0.0583;0.0458;0.0327;0.0144;0.0123,5,youtube,0.0129,0.5856,0.3539
1993,1993_Phi_Gamma_Delta,#382B34;#694757;#513843;#7D5C6C;#4B355C;#96717F;#61467B;#AF8B9D;#726BA6;#C8ADCC,0.2400;0.1512;0.1496;0.1261;0.0874;0.0793;0.0599;0.0471;0.0332;0.0263,4,youtube,0.8824,0.2920,0.4063
