year,group,source,path
2000,Kappa Omega Tau,bing,data/images/2000_Kappa_Omega_Tau/bing_00.jpg
2000,Kappa Omega Tau,bing,data/images/2000_Kappa_Omega_Tau/bing_01.jpg
2000,Kappa Omega Tau,bing,data/images/2000_Kappa_Omega_Tau/bing_02.jpeg
2000,Kappa Omega Tau,bing,data/images/2000_Kappa_Omega_Tau/bing_03.jpg
2000,Kappa Omega Tau,bing,data/images/2000_Kappa_Omega_Tau/bing_04.png
2000,Zeta Tau Alpha,bing,data/images/2000_Zeta_Tau_Alpha/bing_01.jpg
2000,Zeta Tau Alpha,bing,data/images/2000_Zeta_Tau_Alpha/bing_02.jpg
2000,Zeta Tau Alpha,bing,data/images/2000_Zeta_Tau_Alpha/bing_03.jpg
2000,Zeta Tau Alpha,bing,data/images/2000_Zeta_Tau_Alpha/bing_04.jpg
2002,Chi Omega,bing,data/images/2002_Chi_Omega/bing_00.jpg
2002,Chi Omega,bing,data/images/2002_Chi_Omega/bing_01.jpg
2002,Chi Omega,bing,data/images/2002_Chi_Omega/bing_02.jpg
2002,Chi Omega,bing,data/images/2002_Chi_Omega/bing_03.jpg
2002,Chi Omega,bing,data/images/2002_Chi_Omega/bing_04.jpg
1990,Pi Beta Phi,youtube,data/images/1990_Pi_Beta_Phi/yt_frame_00.jpg
1990,Pi Beta Phi,youtube,data/images/1990_Pi_Beta_Phi/yt_frame_01.jpg
1990,Pi Beta Phi,youtube,data/images/1990_Pi_Beta_Phi/yt_frame_02.jpg
1990,Pi Beta Phi,youtube,data/images/1990_Pi_Beta_Phi/yt_frame_03.jpg
1990,Pi Beta Phi,youtube,data/images/1990_Pi_Beta_Phi/yt_frame_04.jpg
1990,Pi Beta Phi,youtube,data/images/1990_Pi_Beta_Phi/yt_frame_05.jpg
1990,Pi Beta Phi,youtube,data/images/1990_Pi_Beta_Phi/yt_frame_06.jpg
1990,Pi Beta Phi,youtube,data/images/1990_Pi_Beta_Phi/yt_frame_07.jpg
2015,Phi Kappa Chi,youtube,data/images/2015_Phi_Kappa_Chi/yt_frame_00.jpg
2015,Phi Kappa Chi,youtube,data/images/2015_Phi_Kappa_Chi/yt_frame_01.jpg
2015,Phi Kappa Chi,youtube,data/images/2015_Phi_Kappa_Chi/yt_frame_02.jpg
2015,Phi Kappa Chi,youtube,data/images/2015_Phi_Kappa_Chi/yt_frame_03.jpg
2015,Phi Kappa Chi,youtube,data/images/2015_Phi_Kappa_Chi/yt_frame_05.jpg
2015,Phi Kappa Chi,youtube,data/images/2015_Phi_Kappa_Chi/yt_frame_06.jpg
2015,Phi Kappa Chi,youtube,data/images/2015_Phi_Kappa_Chi/yt_frame_07.jpg
