year,group,theme,placement,song_title,song_artist,kaggle_track_name,kaggle_artist_name,kaggle_genre,kaggle_danceability,kaggle_energy,kaggle_valence,kaggle_tempo,kaggle_acousticness,kaggle_loudness,kaggle_popularity,kaggle_year,match_score
1973,Kappa Omega Tau,Lonely Hearts Club,Participated,Hey Jude,,Hey Jude,Roberta Flack,disco,0.585,0.259,0.678,165.97,0.882,-8.896,8.0,2012.0,100.0
1988,Zeta Tau Alpha,Back to Paradise,Participated,(I've Had) The Time of My Life,,(I've Had) The Time Of My Life,Glee Cast,club,0.459,0.77,0.168,110.706,0.0765,-5.993,24.0,2012.0,100.0
1990,Pi Beta Phi,I Ought to be in the Pictures,Participated,Singin' in the Rain,,Singin' in the Rain,Matthew Morrison,show-tunes,0.622,0.536,0.486,144.035,0.278,-5.674,21.0,2013.0,100.0
2011,Kappa Kappa Gamma,Who's Afraid of the Big Bad Wolf?,Pigskin,Mercy,Duffy,Mercy,Duffy,soul,0.786,0.859,0.964,129.948,0.261,-3.744,0.0,2023.0,100.0
2011,Kappa Kappa Gamma,Who's Afraid of the Big Bad Wolf?,Pigskin,Be OK,Ingrid Michaelson,Be OK,Ingrid Michaelson,pop,0.82,0.788,0.933,133.019,0.127,-6.747,56.0,2008.0,100.0
2011,Kappa Sigma,Playin' Around at the Playground,Pigskin,Come Play Away,,Come Fly Away,Benny Benassi,edm,0.647,0.811,0.246,130.011,0.00981,-2.848,17.0,2008.0,88.9
2012,Alpha Chi Omega,Juke Box Heroes,Pigskin,Livin' On a Prayer,,Livin' on a Prayer,Richard Cheese,jazz,0.521,0.653,0.706,170.341,0.618,-4.551,28.0,2017.0,100.0
2016,Delta Tau Delta,Lost in the Jungle,Participated,Tarzan,Disney,Taipan,Distance,dubstep,0.807,0.766,0.434,140.006,0.0225,-7.879,0.0,2006.0,75.0
2016,Kappa Chi Alpha & Beta Upsilon Chi,Wonderful World,Participated,What a Wonderful World,,What A Wonderful World,Eva Cassidy,folk,0.432,0.177,0.0892,151.84,0.861,-13.362,41.0,2012.0,100.0
2016,Phi Gamma Delta,The Dance of the Dead,Participated,Thriller,Michael Jackson,Thriller,Michael Jackson,pop,0.764,0.887,0.72,118.427,0.0816,-3.726,65.0,2017.0,100.0
2016,Zeta Tau Alpha,We Have Awoken,Pigskin,Chandelier,Sia,Chandelier,Sia,pop,0.399,0.787,0.572,117.089,0.0197,-2.88,69.0,2015.0,100.0
2019,Alpha Delta Pi,Coming to You Live from ADPI,Participated,Good Morning Baltimore,,Good Morning Baltimore,Nikki Blonsky,show-tunes,0.628,0.832,0.744,133.037,0.191,-4.365,53.0,2007.0,100.0
2019,Alpha Delta Pi,Coming to You Live from ADPI,Participated,Shut Up and Drive,Rihanna,Shut Up And Drive,Rihanna,pop,0.735,0.826,0.74,132.964,0.00101,-4.902,62.0,2007.0,100.0
2019,Beta Upsilon Chi,Batter Up!,Participated,The Star Spangled Banner,,The Star Spangled Banner,Pat Boone,rock-n-roll,0.262,0.24,0.279,82.681,0.934,-13.18,2.0,2002.0,100.0
2019,Chi Omega,Can't Stop the Bees,2nd,Honey Honey,ABBA,"Honey, Honey",ABBA,swedish,0.439,0.701,0.796,140.642,0.201,-11.354,27.0,2012.0,97.3
2019,Kappa Omega Tau,The Night Before Christmas,1st,Look Down,Les Misérables,Desidia,Los Miserables,ska,0.494,0.626,0.744,100.06,0.00283,-13.273,17.0,2023.0,72.0
2019,Kappa Sigma,Finding Bigfoot,Pigskin,Kill the Beast,,Kill the Beast,Mystic Prophecy,german,0.536,0.97,0.231,99.992,3.45e-05,-4.82,26.0,2013.0,100.0
